slug,title,total_score,technical_seo,onpage_seo,search_intent,content_quality,internal_linking,entity_relevance,freshness,ctr_potential,content_length,title_length,has_image,has_faq,countries,leaders,topics,conflicts,orgs,views
hormuz-black-sea-chokepoints-iran-ukraine-oil-food-weaponization,"The World's Two Chokepoints Under Siege: How Iran and Ukraine Are Simultaneously Weaponizing Oil and Food",62,15,18,6,13,3,2,5,0,30442,105,N,N,0,0,1,0,0,6
iraq-militia-crisis-september-30-civil-war-risk,"Iraq's Militia Crisis: Why September 30 Could Trigger Civil War",78,15,18,11,13,6,5,5,5,32573,63,N,N,1,1,0,0,0,4
romania-energy-emergency-danube-water-crisis-europe-grid-vulnerability,"Romania's Energy Emergency: What a Water Crisis Reveals About Europe's Grid Vulnerability",69,15,18,7,13,6,5,5,0,32111,89,N,N,1,0,1,0,0,7
leipzig-drone-attack-germany-russia-intelligence-trail,"The Leipzig Drone: Inside the Intelligence Trail Linking a German Airport Attack to Moscow",68,15,18,11,13,3,3,5,0,25505,90,N,N,1,0,0,0,0,6
india-growth-defence-geopolitics-before-after-2014,"India's Long Arc: Comparing Growth, Defence, and Geopolitical Weight Before and After 2014",65,15,18,7,13,3,2,5,2,25464,90,N,N,0,1,0,0,0,69
india-indian-ocean-doctrine-maritime-power-play,"India's Indian Ocean Doctrine: The Maritime Power Play Delhi Hasn't Talked About",67,15,18,7,13,6,3,5,0,25253,80,N,N,2,0,0,0,0,13
viksit-bharat-2047-india-grand-strategy-superpower,"Viksit Bharat 2047: Decoding India's Grand Strategy for Superpower Status",71,15,15,11,10,6,5,5,4,24860,73,N,N,0,1,1,0,1,11
cuba-brink-washington-military-planning-havana,"Cuba on the Brink: Inside Washington's Quiet Military Planning Against Havana",76,15,18,11,10,10,7,5,0,23717,77,N,N,2,3,1,0,0,7
azerbaijan-quiet-leverage-putin-south-caucasus,"Azerbaijan's Quiet Leverage: Why the World's Smallest Big Player Matters to Putin",73,15,15,11,10,10,7,5,0,23967,81,N,N,4,1,1,0,0,18
caspian-convergence-ukraine-iran-wars,"The Caspian Convergence: How One Sea Became the Secret Hinge of the Ukraine and Iran Wars",64,15,15,6,13,6,4,5,0,27287,89,N,N,0,0,1,1,0,5
mecca-defence-pact-turkey-pakistan-saudi-arabia-india-implications,"Turkey-Pakistan-Saudi Arabia's Mecca Pact: What It Means for India's Western Flank",50,15,18,2,10,0,0,5,0,19851,82,N,N,0,0,0,0,0,12
pakistan-shadow-security-problem-non-state-actors-2026,"Pakistan's Shadow Security Problem: Why Islamabad's Ties to Non-State Actors Keep Coming Back to Bite It",54,15,18,6,10,0,0,5,0,20362,104,N,N,0,0,0,0,0,12
yemen-ukraine-convergence-drone-war-distant-fronts-2026,"The Yemen-Ukraine Convergence: How One Global Drone War Is Pulling Two Distant Fronts Together",59,15,18,6,10,3,2,5,0,17757,94,N,N,0,0,0,1,0,22
zelensky-washington-reading-room-ukraine-military-purge-2026,"Zelensky in Washington: Reading the Room After Ukraine's Military Purge",52,15,18,2,10,0,0,5,2,17100,71,N,N,0,0,0,0,0,6
india-uk-ceta-force-2026-meaning-indian-business,"What the India-UK CETA Coming Into Force Means for Indian Business",55,15,18,7,3,3,2,5,2,14357,66,N,N,0,1,0,0,0,8
china-second-strike-milestone-july-2026-slbm-test-nuclear-triad,"China's Second-Strike Milestone: Decoding the July Missile Test Nobody Noticed",61,15,18,7,10,3,3,5,0,17829,78,N,N,1,0,0,0,0,10
hormuz-de-escalation-iran-oman-standoff,"Hormuz De-Escalation: Are Iran and Oman Quietly Ending the Standoff?",69,15,16,7,13,6,5,5,2,35419,68,N,N,2,0,1,0,0,11
ceuta-tragedy-spain-morocco-deadliest-border-crisis-2026,"The Ceuta Tragedy: Inside Spain and Morocco's Deadliest Border Crisis in Modern History",54,15,18,6,10,0,0,5,0,17308,87,N,N,0,0,0,0,0,7
south-korea-gulf-gambit-air-defense-cheongung-uae-saudi-arabia,"South Korea's Gulf Gambit: Inside Seoul's Bid to Solve the Middle East's Air-Defense Problem",47,15,18,6,3,0,0,5,0,14420,92,N,N,0,0,0,0,0,11
brussels-vs-beijing-eu-trade-defense-wall-china-2026,"Brussels vs Beijing: Inside the EU's New Trade Defense Wall Against China",49,15,18,6,3,0,0,5,2,13291,73,N,N,0,0,0,0,0,19
europe-missile-gap-deep-strike-force-2026,"Europe's Missile Gap: Why the Continent Can't Build Its Own Deep-Strike Force Yet",74,15,18,11,15,6,4,5,0,55570,81,N,N,1,0,0,0,1,13
singapore-golden-vault-sovereign-reserve-hub-gold-trading,"Singapore's Golden Vault: How a City-State Became the World's Sovereign Reserve Hub",54,15,18,6,10,0,0,5,0,16834,83,N,N,0,0,0,0,0,17
hafnium-critical-mineral-supply-chain-china-geopolitics,"Hafnium: The Critical Mineral Nobody's Talking About (Until Now)",73,15,18,7,10,10,5,5,3,21551,64,N,N,1,0,5,0,0,14
canada-100-billion-submarine-decision-germany-over-south-korea,"Canada's $100 Billion Snub to Asia: Why Ottawa Picked Germany Over South Korea for Its Submarines",75,15,18,11,10,10,4,5,2,17272,97,N,N,3,0,0,0,1,11
truce-broke-iran-war-return-combat-islamabad-memorandum-collapse,"The Truce That Broke: Inside the Iran War's Sudden Return to Full-Scale Combat",54,15,18,6,10,0,0,5,0,16896,78,N,N,0,0,0,0,0,10
britain-nationalises-steel-economic-nationalism-returns,"Britain Nationalises Steel: What It Signals About the Return of Economic Nationalism",53,15,18,2,13,0,0,5,0,39279,84,N,N,0,0,0,0,0,9
floating-barrier-china-south-china-sea,"The Floating Barrier: China's Quiet New Move in the South China Sea",75,15,15,7,13,10,8,5,2,36639,67,N,N,2,0,1,1,1,74
turkey-arms-export-boom-eleventh-largest-weapons-supplier,"Turkey's Arms Export Boom: How Ankara Became the World's 11th-Largest Weapons Supplier",64,15,18,6,13,3,2,5,2,36450,86,N,N,0,0,1,0,0,24
franco-german-nuclear-umbrella-merz-macron-deterrence-pact,"Franco-German Nuclear Umbrella: Inside the Merz-Macron Deterrence Pact for Europe",80,15,18,11,13,10,8,5,0,38698,81,N,N,3,1,1,0,1,10
